ID_Transaccion;Fecha_Venta;Region;Asesor_Venta;Producto;Monto_Venta;Dias_Mora
00037;11/03/2023;Este;sofia ramirez;CDT;24570000;53
00038;03/05/2024;Centro;LUIS TORRES;Seguro Vida;45319000;0
00039;18/10/2024;Oeste;  Diana  Patricia  ;Credito Libranza;38591000;0
00040;17/10/2024;Este;  SOFIA RAMIREZ  ;Seguro Vida;18358000;47
00041;23/05/2024;Oeste;lucia fernandez;CDT;38093000;52
00042;16/04/2023;Oeste;pedro gil;Tarjeta Gold;31212000;63
00043;12/05/2024;Este;Maria Gomez;CDT;14174000;101
00044;27/12/2024;Este;ANA LOPEZ;Seguro Vida;48283000;0
00045;18/07/2023;Centro;Pedro Gil;CDT;23668000;88
00046;14/02/2023;Sur;  Pedro Gil  ;Seguro Vida;15191000;0
00047;21-Aug-2024;Este;  MIGUEL ANGEL  ;Microcredito;18989000;0
00048;27-Sep-2023;Oeste;carlos ruiz;Seguro Vida;48736000;0
00049;05/01/2023;Norte;Juan Perez;Microcredito;8225000;30
00050;02/10/2024;Centro;ANA LOPEZ;Credito Libranza;20395000;0
00051;25/06/2024;Centro;MARIA GOMEZ;Tarjeta Gold;43538000;34
00052;13/05/2024;Centro;    MIGUEL ANGEL    ;Tarjeta Gold;49844000;0
00053;20/02/2024;Este;Ana Lopez;Seguro Vida;7589000;0
00054;18/10/2024;Este;Diana  Patricia;Tarjeta Gold;6626000;93
00055;08/11/2024;Norte;maria gomez;Seguro Vida;47478000;0
00056;13/08/2024;Norte;Pedro Gil;CDT;37347000;0
00057;15/01/2023;Sur;  MIGUEL ANGEL  ;Tarjeta Gold;2533000;0
00058;28/06/2024;Centro;LUIS TORRES;Seguro Vida;17217000;0
00059;17/03/2024;Oeste;  miguel angel  ;CDT;36551000;27
00060;25/08/2024;Sur;  Ana Lopez  ;Tarjeta Gold;10261000;51
00061;13/08/2023;Este;  Pedro Gil  ;Credito Libranza;15152000;0
00062;16/03/2023;Centro;  Carlos Ruiz  ;Seguro Vida;15212000;0
00063;21/06/2023;Norte;lucia fernandez;Seguro Vida;30251000;72
00064;16/08/2023;Centro;Maria Gomez;Microcredito;20721000;0
00065;18/11/2024;Oeste;Maria Gomez;Seguro Vida;1225000;6
00066;11/08/2023;Centro;LUCIA FERNANDEZ;CDT;44704000;0
00067;14-Feb-2023;Este;lucia fernandez;Seguro Vida;27659000;0
00068;23-Apr-2023;Norte;lucia fernandez;CDT;800000;0
00069;18/06/2024;Sur;SOFIA RAMIREZ;Credito Libranza;34477000;0
00070;13/02/2023;Oeste;    MIGUEL ANGEL    ;Tarjeta Gold;4499000;0
00071;08/01/2024;Oeste;LUIS TORRES;CDT;37602000;0
00072;31/07/2024;Sur;Pedro Gil;CDT;7178000;0
00073;03/11/2024;Norte;  Pedro Gil  ;Microcredito;30786000;19
00074;06/04/2023;Este;Maria Gomez;Tarjeta Gold;33895000;0
00075;06/06/2023;Oeste;Juan Perez;Seguro Vida;38261000;0
00076;15/03/2024;Centro;ana lopez;Tarjeta Gold;48103000;56
00077;28/07/2023;Oeste;  LUIS TORRES  ;Tarjeta Gold;45904000;0
00078;04/09/2024;Este;PEDRO GIL;Seguro Vida;18163000;0
00079;10-Jan-2024;Oeste;  SOFIA RAMIREZ  ;Credito Libranza;22673000;0
00080;31/01/2024;Centro;LUCIA FERNANDEZ;Microcredito;19412000;86
00081;04/08/2023;Sur;  LUIS TORRES  ;Microcredito;43337000;0
00082;16/11/2024;Oeste;diana  patricia;Tarjeta Gold;2083000;20
00083;02/01/2024;Norte;ANA LOPEZ;Tarjeta Gold;33908000;0
00084;17/06/2024;Norte;JUAN PEREZ;Microcredito;34418000;0
00085;29/07/2023;Este;Pedro Gil;CDT;9087000;0
00086;11/04/2023;Norte;  LUIS TORRES  ;Tarjeta Gold;44420000;0
00087;05/02/2023;Sur;  lucia fernandez  ;CDT;28886000;76
00088;16/07/2024;Oeste;    MIGUEL ANGEL    ;Tarjeta Gold;46053000;0
00089;11/03/2023;Oeste;luis torres;Microcredito;41360000;0
00090;03/06/2023;Norte;  Maria Gomez  ;Seguro Vida;1723000;0
00091;04/10/2024;Oeste;  lucia fernandez  ;CDT;31695000;0
00092;25/10/2023;Norte;Diana  Patricia;Tarjeta Gold;3880000;0
00093;12/12/2023;Sur;SOFIA RAMIREZ;Tarjeta Gold;17212000;111
00094;07/01/2023;Este;lucia fernandez;Tarjeta Gold;19994000;32
00095;25/07/2024;Sur;SOFIA RAMIREZ;CDT;25019000;0
00096;13/02/2023;Centro;lucia fernandez;Credito Libranza;8610000;98
00097;18/08/2023;Centro;  MIGUEL ANGEL  ;Microcredito;26021000;0
00098;03/12/2023;Norte;MARIA GOMEZ;Microcredito;39384000;86
00099;22/03/2024;Centro;  Pedro Gil  ;Seguro Vida;11134000;13
00100;09/07/2024;Este;lucia fernandez;Seguro Vida;41034000;0
00101;04/03/2023;Sur;lucia fernandez;Seguro Vida;13250000;18
00102;22/07/2024;Oeste;Pedro Gil;Seguro Vida;27282000;0
00103;15/03/2024;Norte;maria gomez;Microcredito;2963000;0
00104;13/07/2023;Sur;sofia ramirez;Credito Libranza;39499000;11
00105;30/05/2024;Oeste;pedro gil;Credito Libranza;11531000;0
00106;29/01/2024;Oeste;MARIA GOMEZ;Microcredito;2584000;0
00107;23/12/2023;Oeste;diana  patricia;Tarjeta Gold;20345000;86
00108;13/05/2024;Centro;Pedro Gil;CDT;43726000;0
00109;04/02/2023;Oeste;diana  patricia;Tarjeta Gold;48531000;0
00110;18/10/2023;Centro;  Juan Perez  ;CDT;31343000;64
00111;10-Oct-2024;Norte;    MIGUEL ANGEL    ;Credito Libranza;20201000;25
00112;10/12/2023;Oeste;lucia fernandez;Tarjeta Gold;10517000;56
00113;28/07/2023;Este;  MIGUEL ANGEL  ;Credito Libranza;34509000;0
00114;26/04/2024;Norte;Pedro Gil;CDT;28643000;61
00115;01/02/2023;Centro;    MIGUEL ANGEL    ;Seguro Vida;5895000;0
00116;19/03/2024;Centro;DIANA  PATRICIA;Microcredito;11110000;74
00117;08-Nov-2024;Norte;lucia fernandez;Microcredito;40452000;0
00118;20/12/2024;Oeste;LUIS TORRES;Credito Libranza;19604000;0
00119;07/09/2023;Sur;pedro gil;Credito Libranza;24775000;65
00120;08/08/2023;Centro;Carlos Ruiz;Seguro Vida;3456000;0
00121;25/11/2023;Centro;LUIS TORRES;Seguro Vida;46392000;0
00122;24/05/2023;Centro;diana  patricia;CDT;23639000;0
00123;28-May-2023;Oeste;Pedro Gil;Seguro Vida;26390000;0
00124;23-Oct-2023;Este;diana  patricia;Credito Libranza;1320000;68
00125;08/10/2023;Sur;sofia ramirez;Tarjeta Gold;10488000;0
00126;09/03/2024;Oeste;sofia ramirez;Seguro Vida;11251000;50
00127;10/06/2024;Norte;PEDRO GIL;Tarjeta Gold;44824000;46
00128;08-Jan-2023;Este;Maria Gomez;Seguro Vida;29014000;0
00129;21/04/2024;Este;    MIGUEL ANGEL    ;Tarjeta Gold;33363000;0
00130;31/10/2024;Sur;  MIGUEL ANGEL  ;Microcredito;23637000;35
00131;03/03/2023;Norte;SOFIA RAMIREZ;Credito Libranza;2622000;57
00132;03/04/2023;Este;lucia fernandez;Credito Libranza;31955000;0
00133;31/10/2024;Oeste;lucia fernandez;Credito Libranza;31509000;73
00134;23/02/2024;Centro;LUIS TORRES;Tarjeta Gold;40616000;0
00135;01/08/2024;Sur;MARIA GOMEZ;CDT;11386000;0
00136;27/12/2023;Oeste;  Maria Gomez  ;Microcredito;4196000;35
00137;18/02/2024;Norte;carlos ruiz;Credito Libranza;33364000;95
00138;16/12/2023;Norte;carlos ruiz;Microcredito;25020000;48
00139;27/03/2024;Centro;Maria Gomez;Credito Libranza;15055000;50
00140;24/06/2023;Oeste;ANA LOPEZ;CDT;49470000;0
00141;03/01/2024;Sur;  Diana  Patricia  ;CDT;22176000;0
00142;22/03/2024;Este;Ana Lopez;CDT;10384000;0
00143;13/10/2023;Norte;    MIGUEL ANGEL    ;Microcredito;36404000;75
00144;05/12/2024;Centro;pedro gil;Microcredito;7379000;0
00145;11/05/2023;Norte;  MIGUEL ANGEL  ;Tarjeta Gold;6054000;7
00146;06/07/2024;Oeste;carlos ruiz;Microcredito;26525000;0
00147;09/04/2024;Centro;diana  patricia;Tarjeta Gold;9960000;0
00148;14-Aug-2024;Oeste;SOFIA RAMIREZ;Credito Libranza;17932000;0
00149;19/03/2024;Centro;PEDRO GIL;CDT;4872000;0
00150;13/06/2023;Centro;MARIA GOMEZ;Tarjeta Gold;15734000;51
00151;06/08/2023;Norte;  MIGUEL ANGEL  ;CDT;17706000;0
00152;03-Jul-2024;Norte;Pedro Gil;Seguro Vida;36189000;0
00153;09/05/2024;Oeste;LUCIA FERNANDEZ;Tarjeta Gold;26951000;0
00154;19/08/2023;Sur;lucia fernandez;CDT;33915000;0
00155;16/02/2023;Oeste;Carlos Ruiz;CDT;48459000;0
00156;24/12/2024;Norte;CARLOS RUIZ;Tarjeta Gold;34940000;0
00157;05/04/2024;Norte;Ana Lopez;CDT;40660000;83
00158;06/09/2023;Sur;lucia fernandez;Credito Libranza;919000;0
00159;08/12/2023;Oeste;SOFIA RAMIREZ;CDT;25135000;56
00160;02/04/2023;Este;Carlos Ruiz;Tarjeta Gold;45341000;0
00161;13/01/2024;Este;SOFIA RAMIREZ;Credito Libranza;28108000;0
00162;21/01/2023;Oeste;Maria Gomez;Microcredito;7599000;49
00163;06/01/2024;Norte;  Diana  Patricia  ;Microcredito;945000;0
00164;17/08/2023;Oeste;Carlos Ruiz;Credito Libranza;17118000;0
00165;08/09/2023;Este;MARIA GOMEZ;Seguro Vida;49010000;0
00166;05/11/2024;Sur;LUCIA FERNANDEZ;Tarjeta Gold;35139000;0
00167;25/04/2023;Oeste;Pedro Gil;CDT;32085000;7
00168;21/01/2023;Oeste;PEDRO GIL;Seguro Vida;28869000;0
00169;25/07/2023;Sur;SOFIA RAMIREZ;CDT;29057000;0
00170;22/06/2024;Norte;MARIA GOMEZ;CDT;47643000;0
00171;21/11/2024;Norte;  MIGUEL ANGEL  ;CDT;17428000;0
00172;19/08/2023;Norte;  SOFIA RAMIREZ  ;Microcredito;45256000;0
00173;01/07/2024;Este;SOFIA RAMIREZ;CDT;13900000;0
00174;17/03/2023;Centro;ANA LOPEZ;Credito Libranza;41242000;0
00175;08/07/2024;Oeste;Juan Perez;Credito Libranza;26011000;0
00176;05/08/2023;Sur;  lucia fernandez  ;CDT;23406000;1
00177;02/10/2023;Centro;  LUIS TORRES  ;Tarjeta Gold;48926000;0
00178;11/03/2024;Norte;pedro gil;Seguro Vida;25265000;0
00179;27/05/2024;Norte;ana lopez;Seguro Vida;7963000;0
00180;14/09/2024;Este;  Pedro Gil  ;Seguro Vida;20420000;43
00181;05/01/2024;Oeste;JUAN PEREZ;Tarjeta Gold;35610000;97
00182;20/02/2024;Sur;ana lopez;CDT;40032000;0
00183;01/12/2024;Centro;LUIS TORRES;CDT;17512000;0
00184;11/03/2024;Sur;sofia ramirez;Tarjeta Gold;44188000;0
00185;21/10/2023;Este;  MIGUEL ANGEL  ;Microcredito;44914000;0
00186;09-Dec-2024;Este;  Pedro Gil  ;Credito Libranza;29878000;80
00187;21/08/2023;Este;  miguel angel  ;Tarjeta Gold;41618000;120
00188;07/04/2024;Norte;  SOFIA RAMIREZ  ;Seguro Vida;31886000;0
00189;19-Nov-2024;Oeste;  Juan Perez  ;Tarjeta Gold;15442000;90
00190;24/11/2024;Este;Diana  Patricia;Microcredito;30530000;0
00191;30/03/2023;Oeste;LUCIA FERNANDEZ;Credito Libranza;16292000;0
00192;28/07/2024;Norte;diana  patricia;Credito Libranza;43322000;0
00193;18/09/2024;Oeste;PEDRO GIL;Credito Libranza;21450000;25
00194;06/07/2023;Norte;ana lopez;Tarjeta Gold;13919000;87
00195;18/09/2024;Oeste;  Carlos Ruiz  ;CDT;5094000;0
00196;17-Feb-2023;Oeste;LUIS TORRES;Microcredito;29213000;35
00197;27-Dec-2024;Sur;lucia fernandez;Microcredito;42580000;0
00198;15/07/2023;Centro;  Diana  Patricia  ;Tarjeta Gold;3601000;0
00199;17/12/2024;Sur;LUCIA FERNANDEZ;Microcredito;29621000;0
00200;25-Dec-2024;Sur;  Ana Lopez  ;Tarjeta Gold;22056000;0
00201;29/07/2024;Norte;sofia ramirez;Credito Libranza;43703000;49
00202;13/01/2023;Este;MARIA GOMEZ;Tarjeta Gold;40931000;0
00203;15/10/2024;Este;DIANA  PATRICIA;CDT;25028000;0
00204;22/09/2024;Oeste;CARLOS RUIZ;Microcredito;18760000;0
00205;22/04/2023;Este;DIANA  PATRICIA;Credito Libranza;25178000;51
00206;07/11/2024;Sur;LUIS TORRES;CDT;17924000;0
00207;13/05/2024;Centro;Maria Gomez;Seguro Vida;14153000;0
00208;26/08/2023;Oeste;JUAN PEREZ;Seguro Vida;37112000;0
00209;08/02/2023;Sur;  MIGUEL ANGEL  ;CDT;10415000;0
00210;23/03/2023;Oeste;  MIGUEL ANGEL  ;Tarjeta Gold;30349000;0
00211;31/05/2024;Norte;LUIS TORRES;Tarjeta Gold;33041000;0
00212;24-May-2023;Este;PEDRO GIL;Seguro Vida;33366000;0
00213;20/02/2024;Oeste;  SOFIA RAMIREZ  ;Credito Libranza;24540000;0
00214;15/01/2024;Sur;ANA LOPEZ;Microcredito;28044000;0
00215;06/01/2024;Norte;CARLOS RUIZ;Tarjeta Gold;6910000;0
00216;21/10/2023;Este;LUCIA FERNANDEZ;CDT;49589000;0
00217;15/01/2024;Sur;  Ana Lopez  ;Tarjeta Gold;12744000;0
00218;23/03/2023;Oeste;Maria Gomez;Seguro Vida;44216000;114
00219;04-Apr-2024;Este;  Diana  Patricia  ;Credito Libranza;38012000;0
00220;17/09/2023;Sur;PEDRO GIL;CDT;29154000;50
00221;31/10/2023;Norte;  LUIS TORRES  ;Tarjeta Gold;49673000;0
00222;11/04/2024;Centro;  miguel angel  ;CDT;879000;0
00223;25-Nov-2024;Norte;LUCIA FERNANDEZ;Tarjeta Gold;37675000;0
00224;25/06/2024;Norte;carlos ruiz;Tarjeta Gold;20655000;0
00225;22/09/2024;Centro;JUAN PEREZ;Seguro Vida;30199000;0
00226;09/08/2024;Norte;LUIS TORRES;CDT;40003000;0
00227;04-Mar-2023;Oeste;sofia ramirez;Tarjeta Gold;49896000;0
00228;04-Jul-2024;Este;maria gomez;CDT;8658000;0
00229;24-Sep-2024;Oeste;  miguel angel  ;Tarjeta Gold;18913000;0
00230;23/09/2023;Centro;SOFIA RAMIREZ;Credito Libranza;48147000;0
00231;18/01/2023;Norte;ana lopez;Microcredito;13511000;0
00232;17/02/2023;Este;LUCIA FERNANDEZ;Microcredito;33296000;98
00233;30/11/2024;Oeste;MARIA GOMEZ;Credito Libranza;33922000;0
00234;16/03/2023;Sur;lucia fernandez;CDT;46514000;0
00235;02/11/2024;Norte;Diana  Patricia;Tarjeta Gold;14633000;0
00236;31/08/2023;Este;  Carlos Ruiz  ;Tarjeta Gold;31070000;39
00237;02-May-2024;Oeste;  lucia fernandez  ;Tarjeta Gold;13607000;23
00238;18/08/2023;Oeste;Maria Gomez;Tarjeta Gold;31398000;0
00239;04-Jul-2024;Sur;  MIGUEL ANGEL  ;CDT;27663000;0
00240;05/05/2024;Oeste;LUIS TORRES;Microcredito;3682000;87
00241;23/05/2023;Oeste;Carlos Ruiz;Tarjeta Gold;32090000;67
00242;22/11/2023;Este;  MIGUEL ANGEL  ;Credito Libranza;10314000;0
00243;10/10/2024;Sur;carlos ruiz;CDT;29589000;0
00244;08/05/2023;Este;  miguel angel  ;Credito Libranza;19206000;0
00245;19/10/2024;Norte;LUIS TORRES;Credito Libranza;7726000;0
00246;10/11/2024;Este;sofia ramirez;CDT;36481000;82
00247;10/03/2023;Este;  MIGUEL ANGEL  ;Tarjeta Gold;2509000;0
00248;25/07/2024;Sur;SOFIA RAMIREZ;CDT;29279000;0
00249;11/03/2023;Sur;MARIA GOMEZ;Credito Libranza;7631000;0
00250;08/06/2024;Este;Juan Perez;Tarjeta Gold;14999000;114
00251;11/11/2024;Este;Juan Perez;Seguro Vida;32040000;0
00252;09/03/2023;Centro;luis torres;Microcredito;1662000;0
00253;17/04/2024;Oeste;Juan Perez;Seguro Vida;31832000;0
00254;22/05/2023;Sur;LUIS TORRES;Microcredito;10639000;0
00255;17/10/2024;Centro;Ana Lopez;Credito Libranza;30021000;15
00256;09/02/2024;Este;  Ana Lopez  ;Credito Libranza;8182000;0
00257;27/04/2024;Norte;  Pedro Gil  ;Tarjeta Gold;18093000;0
00258;12/12/2024;Oeste;PEDRO GIL;Seguro Vida;14255000;0
00259;26-Jul-2024;Este;  LUIS TORRES  ;Seguro Vida;42986000;0
00260;30/01/2023;Sur;LUIS TORRES;Credito Libranza;42202000;0
00261;29/04/2023;Centro;SOFIA RAMIREZ;CDT;42706000;8
00262;18-Jun-2024;Este;carlos ruiz;Credito Libranza;42825000;0
00263;15-Jun-2024;Este;  Carlos Ruiz  ;Microcredito;45621000;77
00264;03-Aug-2024;Centro;ANA LOPEZ;Seguro Vida;43006000;94
00265;12-Jul-2024;Norte;JUAN PEREZ;Tarjeta Gold;12290000;0
00266;17/03/2024;Centro;  MIGUEL ANGEL  ;Seguro Vida;36744000;18
00267;20/05/2024;Norte;LUCIA FERNANDEZ;Credito Libranza;19572000;37
00268;06-Nov-2023;Oeste;  Diana  Patricia  ;Tarjeta Gold;13020000;0
00269;23/02/2023;Sur;PEDRO GIL;Credito Libranza;36691000;62
00270;07/12/2023;Sur;sofia ramirez;Seguro Vida;8170000;78
00271;23-Apr-2024;Este;  MIGUEL ANGEL  ;Microcredito;40188000;0
00272;21/11/2024;Oeste;  LUIS TORRES  ;Credito Libranza;17555000;98
00273;15/05/2023;Este;LUCIA FERNANDEZ;Tarjeta Gold;4005000;0
00274;06-Oct-2023;Oeste;ana lopez;Credito Libranza;10312000;78
00275;25/05/2024;Sur;sofia ramirez;CDT;38689000;0
00276;18/02/2024;Centro;lucia fernandez;Microcredito;20341000;0
00277;07/11/2024;Este;lucia fernandez;Credito Libranza;36650000;0
00278;12/10/2024;Oeste;lucia fernandez;CDT;38676000;22
00279;09/03/2024;Este;Carlos Ruiz;Tarjeta Gold;32236000;0
00280;21/12/2024;Sur;Maria Gomez;Seguro Vida;12541000;0
00281;18/03/2024;Este;  Juan Perez  ;Seguro Vida;45786000;0
00282;22/11/2024;Norte;    MIGUEL ANGEL    ;Tarjeta Gold;49631000;0
00283;25/11/2023;Centro;  Carlos Ruiz  ;Tarjeta Gold;17296000;0
00284;03/06/2023;Norte;  MIGUEL ANGEL  ;Tarjeta Gold;32691000;110
00285;13/02/2023;Este;Maria Gomez;Tarjeta Gold;15427000;18
00286;24/07/2023;Sur;  Juan Perez  ;Tarjeta Gold;26402000;27
00287;12/05/2024;Sur;  LUIS TORRES  ;Microcredito;25560000;99
00288;01/10/2024;Centro;carlos ruiz;CDT;23759000;33
00289;17/05/2023;Este;DIANA  PATRICIA;CDT;45589000;46
00290;07-Oct-2024;Norte;juan perez;CDT;33828000;49
00291;29-Oct-2023;Este;ANA LOPEZ;Microcredito;9393000;111
00292;10/02/2024;Centro;ANA LOPEZ;Microcredito;6540000;69
00293;25/12/2024;Sur;CARLOS RUIZ;Seguro Vida;45775000;0
00294;08-Apr-2023;Oeste;  lucia fernandez  ;Tarjeta Gold;4256000;64
00295;29/02/2024;Este;  Ana Lopez  ;Seguro Vida;32416000;0
00296;01/03/2023;Este;  Ana Lopez  ;CDT;3578000;54
00297;15-Jan-2023;Centro;  MIGUEL ANGEL  ;Credito Libranza;27070000;59
00298;16/03/2023;Centro;LUIS TORRES;Microcredito;34127000;0
00299;09/03/2024;Este;PEDRO GIL;Microcredito;3540000;100
00300;22-Jan-2024;Oeste;carlos ruiz;Credito Libranza;35155000;0
00301;02/06/2023;Este;Maria Gomez;Seguro Vida;39556000;0
00302;08/04/2024;Este;  MIGUEL ANGEL  ;CDT;36529000;12
00303;28/02/2023;Sur;ANA LOPEZ;CDT;7076000;0
00304;12/03/2024;Este;LUIS TORRES;Seguro Vida;22296000;0
00305;12/12/2023;Centro;LUIS TORRES;Credito Libranza;23152000;0
00306;30/01/2024;Centro;ANA LOPEZ;CDT;23088000;0
00307;08/10/2024;Este;  Pedro Gil  ;Microcredito;21080000;0
00308;24/04/2024;Centro;Pedro Gil;Credito Libranza;8956000;0
00309;03/09/2024;Sur;MARIA GOMEZ;CDT;12717000;48
00310;18/06/2023;Este;Carlos Ruiz;Credito Libranza;43249000;108
00311;28/01/2024;Este;SOFIA RAMIREZ;Credito Libranza;23618000;40
00312;25/01/2023;Norte;Carlos Ruiz;Tarjeta Gold;34675000;0
00313;09/06/2023;Oeste;Juan Perez;Seguro Vida;49429000;47
00314;08/06/2024;Norte;JUAN PEREZ;Tarjeta Gold;12420000;41
00315;26/08/2023;Centro;  Diana  Patricia  ;Credito Libranza;19212000;0
00316;13/04/2024;Norte;PEDRO GIL;Seguro Vida;30816000;0
00317;03/07/2024;Norte;LUIS TORRES;CDT;833000;98
00318;26/04/2023;Norte;  Ana Lopez  ;CDT;36319000;34
00319;10/08/2023;Oeste;Juan Perez;Tarjeta Gold;36414000;0
00320;20/07/2024;Centro;Carlos Ruiz;Seguro Vida;25851000;0
00321;29-Oct-2023;Este;SOFIA RAMIREZ;Seguro Vida;30136000;0
00322;06/01/2023;Este;PEDRO GIL;Credito Libranza;37431000;0
00323;25/12/2023;Este;carlos ruiz;CDT;28517000;0
00324;04/07/2024;Oeste;SOFIA RAMIREZ;CDT;49989000;0
00325;09/12/2023;Sur;Pedro Gil;CDT;46586000;0
00326;06/01/2023;Este;CARLOS RUIZ;Tarjeta Gold;18160000;0
00327;03/11/2024;Norte;juan perez;Credito Libranza;6174000;0
00328;01/02/2023;Sur;diana  patricia;Tarjeta Gold;42095000;0
00329;04/11/2024;Centro;SOFIA RAMIREZ;Credito Libranza;24316000;53
00330;26/05/2024;Oeste;Pedro Gil;Credito Libranza;37829000;0
00331;21/08/2023;Este;Maria Gomez;CDT;16557000;0
00332;01/03/2023;Centro;luis torres;Tarjeta Gold;18112000;102
00333;01/10/2024;Centro;Pedro Gil;Tarjeta Gold;41668000;0
00334;27/01/2024;Sur;Carlos Ruiz;Tarjeta Gold;29512000;0
00335;21/10/2023;Centro;maria gomez;Seguro Vida;17114000;110
00336;08/10/2023;Oeste;LUIS TORRES;Microcredito;36692000;0
00337;25/10/2024;Centro;JUAN PEREZ;Credito Libranza;44133000;19
00338;17/10/2023;Norte;  Ana Lopez  ;Microcredito;3503000;0
00339;01/06/2023;Oeste;Pedro Gil;Credito Libranza;5286000;105
00340;04-May-2024;Oeste;LUCIA FERNANDEZ;Tarjeta Gold;41300000;0
00341;03/04/2023;Norte;  MIGUEL ANGEL  ;Microcredito;3481000;0
00342;30/01/2024;Sur;SOFIA RAMIREZ;Microcredito;2759000;0
00343;21/09/2024;Centro;DIANA  PATRICIA;Microcredito;11454000;0
00344;09/11/2023;Norte;PEDRO GIL;CDT;7818000;0
00345;11/06/2024;Centro;lucia fernandez;CDT;25395000;0
00346;25/07/2023;Norte;pedro gil;Seguro Vida;7522000;0
00347;15/09/2024;Sur;  Ana Lopez  ;Microcredito;38337000;0
00348;18/10/2023;Oeste;pedro gil;CDT;685000;53
00349;22/09/2023;Este;SOFIA RAMIREZ;Microcredito;16080000;0
00350;25/02/2024;Oeste;PEDRO GIL;Credito Libranza;4582000;0
00351;20/08/2024;Centro;SOFIA RAMIREZ;Tarjeta Gold;36393000;0
00352;07/04/2023;Sur;SOFIA RAMIREZ;Tarjeta Gold;45829000;0
00353;18/10/2023;Este;LUCIA FERNANDEZ;Tarjeta Gold;27298000;66
00354;14/09/2024;Centro;Pedro Gil;Microcredito;39877000;1
00355;05/03/2023;Norte;  SOFIA RAMIREZ  ;Seguro Vida;46859000;0
00356;15/05/2023;Centro;SOFIA RAMIREZ;Tarjeta Gold;22788000;0
00357;06/10/2024;Norte;sofia ramirez;Seguro Vida;38906000;0
00358;28/09/2024;Sur;LUIS TORRES;Seguro Vida;18312000;0
00359;05/05/2023;Oeste;carlos ruiz;CDT;14092000;0
00360;21/06/2023;Oeste;  Juan Perez  ;Microcredito;42188000;0
00361;20/08/2023;Este;    MIGUEL ANGEL    ;Microcredito;44858000;85
00362;31/03/2023;Norte;Diana  Patricia;Tarjeta Gold;45942000;52
00363;29/09/2023;Oeste;JUAN PEREZ;CDT;16723000;0
00364;14/12/2023;Sur;  Juan Perez  ;CDT;32146000;0
00365;21-Apr-2023;Oeste;Juan Perez;Microcredito;38191000;85
00366;09/11/2024;Oeste;Pedro Gil;Credito Libranza;14105000;36
00367;27/08/2023;Sur;Maria Gomez;Seguro Vida;23234000;26
00368;01-Aug-2024;Sur;SOFIA RAMIREZ;Credito Libranza;45643000;66
